Time (s),Manipulability,Joint Velocities
2.7220048904418945,1.4057091446683752,"[0.8286327206274168, 0.2424991272590228, 0.2639949197270237, 0.08557306599892218, -0.29782830035502017, 0.4931520259915274, -0.16863884398101286, -0.3497011846145453, -0.5919869085389204, 0.5460043709010649]"
2.7439534664154053,1.4138220993278152,"[0.8371905251919167, 0.2428863896441522, 0.26146683482917593, 0.08567453522956621, -0.29803170020167064, 0.49852387057576947, -0.16926451394024966, -0.3302518453930317, -0.5984249653589246, 0.5241039501702197]"
2.763296127319336,1.4213785089001034,"[0.8462341670617571, 0.24300885741168085, 0.25949888011646244, 0.08597634738053839, -0.2994126139041328, 0.504085596491899, -0.16992397436100745, -0.3100883965444368, -0.6050922419228961, 0.5018576295229037]"
2.781419515609741,1.4283568887441427,"[0.8558109206524916, 0.2428599087544453, 0.25813750432933175, 0.08650110529899804, -0.3020322411695273, 0.5098444430971212, -0.17061856618974913, -0.2891625693575265, -0.6119990755990986, 0.4791915985773585]"
2.8117516040802,1.4347367009556875,"[0.8659700565641835, 0.24243155767335867, 0.25743230231823266, 0.08727355858089879, -0.30595654243604825, 0.5158138292527666, -0.171350205780723, -0.2674234729408662, -0.619158638955284, 0.4560338822853141]"
2.8391690254211426,1.440498206579485,"[0.8767632389096395, 0.2417157379876979, 0.2574365227150248, 0.08832111475136649, -0.31125815227432385, 0.5220040942355659, -0.17211990161619237, -0.24481770807680384, -0.6265834894703104, 0.4323005081787237]"
2.859135150909424,1.4456222897820314,"[0.8882459445881769, 0.24070392620925155, 0.25820740829336275, 0.08967419915150346, -0.3180164858892249, 0.5284264280414981, -0.1729292167969765, -0.22128970794713637, -0.6342871043949433, 0.40790063718523883]"
2.8887434005737305,1.4500902853036781,"[0.9004765392416838, 0.2393875283443546, 0.25980644444226286, 0.09136656379993982, -0.3263185470501616, 0.5350898689689977, -0.1737787012672837, -0.19678227603419704, -0.6422829247839443, 0.38273093351320064]"
2.926999092102051,1.4538838114943506,"[0.9135184385327645, 0.23775711947900252, 0.2622993983529542, 0.09343543762712879, -0.3362584921650844, 0.542011050866524, -0.1746710192206163, -0.1712362506810059, -0.6505878570784618, 0.3566887241744269]"
2.936079740524292,1.456984586887186,"[0.9274394092741227, 0.23580368338660657, 0.2657568779762218, 0.09592227625518708, -0.3479386924124588, 0.5492040286567176, -0.17560854601219253, -0.14459270793047577, -0.6592188225128307, 0.32965721199118214]"
2.965228796005249,1.4593742365112328,"[0.9423120032299132, 0.23351844213635134, 0.27025441950617324, 0.09887303818503729, -0.36147000287185926, 0.5566841556657404, -0.17659353447316078, -0.11679316416994012, -0.6681945973106889, 0.30150885505453484]"
3.0019149780273438,1.4610341041460275,"[0.9582131837264534, 0.23089319551011916, 0.2758725826720514, 0.10233855186318683, -0.3769725753273399, 0.5644683982037145, -0.17762846558936735, -0.08778019495854264, -0.6775355687200464, 0.2721041035805078]"
3.020620107650757,1.4619450577538482,"[0.9752249264950223, 0.2279206878365547, 0.2826972045697246, 0.10637511186209651, -0.39457609283267564, 0.5725753014981869, -0.17871607363872724, -0.05749921008283702, -0.6872640277200148, 0.2412900285834896]"
